Timestamp_sec,Timestamp_nsec,x,y,z,Qx,Qy,Qz,Qw,Linear Velocity X,Linear Velocity Y,Linear Velocity Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1722943135,663924044,0.0335293,-0.00133956,0.0261862,0.022807,-0.0199494,0.00297373,0.999536,0.0413798,-0.084739,-0.381083,0.0363739,0.0368085,-0.0233781
1722943135,797566556,0.0386279,-0.0101265,-0.0147587,0.0308366,-0.00931219,0.000463888,0.999481,0.0680277,-0.0865367,-0.282655,-0.00123282,0.215795,-0.0543375
1722943135,931462610,0.0409459,-0.0130194,-0.0764575,0.0357632,-0.00699995,-0.000168153,0.999336,0.0411995,-0.0628378,-0.227571,-0.0332377,0.185124,-0.0580323
1722943136,64452853,0.0397258,-0.0164714,-0.0937845,0.0358303,0.00171999,-0.00489684,0.999344,0.0185516,-0.0710617,-0.10703,-0.0160509,0.17641,0.0679366
1722943136,198075429,0.0405126,-0.0132901,-0.10136,0.030945,0.0233043,-0.00343652,0.999243,-0.00996957,-0.0529119,0.141174,0.125075,0.0296164,0.0992705
1722943136,331485360,0.0455939,-0.0164689,-0.0787761,0.0325707,0.0295102,0.00255159,0.99903,0.0493203,-0.0348505,0.384461,-0.0606835,-0.0216184,0.018404
1722943136,465045567,0.0525908,-0.0112327,-0.0279558,0.0166131,0.0301824,0.0051258,0.999393,0.0414559,-0.0229901,0.492116,-0.119046,-0.12157,0.088519
1722943136,598473163,0.0566952,-0.00844775,0.0359867,0.00955925,0.0190303,0.0105937,0.999717,0.0238176,0.00311211,0.552938,-0.0886795,-0.285161,0.0526877
1722943136,732235709,0.0559024,-0.00306642,0.10905,-0.00147,-0.00069701,0.0141587,0.999898,0.0108337,0.0158967,0.536477,-0.051794,-0.102203,0.0237159
1722943136,865646185,0.0553847,-0.00357002,0.177482,-0.00252737,-0.00491538,0.0155831,0.999863,0.0198704,0.00505662,0.4694,-0.228465,-0.282183,-0.132244
1722943136,999044980,0.0522605,0.00526203,0.235267,-0.00645787,-0.016379,0.0158051,0.99972,-0.00313321,0.0219361,0.408562,0.0461943,-0.301352,0.107458
1722943137,132641059,0.0516814,0.00109848,0.280718,-0.0100655,-0.0337242,0.0144314,0.999276,0.0108287,-0.0109523,0.231375,0.0333395,-0.277427,-0.0102583
1722943137,266127920,0.0492239,0.00643992,0.299739,-0.0104007,-0.0482757,0.0128143,0.998698,-0.0125168,-0.0168095,-0.0716434,-0.124069,-0.169271,-0.077752
1722943137,399602908,0.0487028,0.00692257,0.259795,-0.0153143,-0.0567761,0.00484933,0.998258,0.0193041,-0.0223344,-0.421592,-0.0629491,-0.103312,0.0694989
1722943137,533808407,0.0528034,0.00322463,0.186244,-0.0158279,-0.0628239,0.00771947,0.997869,0.0174567,-0.0312555,-0.672502,0.101497,0.614517,0.125093
1722943137,666788602,0.0555348,0.000166475,0.110975,-0.0099523,-0.0320639,0.0120183,0.999364,-0.0127489,-0.0452713,-0.661545,0.15482,-0.0102221,-0.0880559
1722943137,800400714,0.0510176,-0.0091514,0.0217674,-0.00178062,-0.0197648,0.00929234,0.99976,-0.0249776,-0.054379,-0.618508,-0.0339304,0.529332,-0.00712159
1722943137,933910743,0.056833,-0.0184665,-0.0599197,-0.00189142,-0.00170523,0.00794548,0.999965,0.0467454,-0.071355,-0.41687,0.0181576,0.2411,0.0311739
